Block No., Local Time, Timestamp [UNIX], Balance [wei]
222726, 2019-07-01 00:00:00, 1561932000, 5062221640918200345785
758317, 2019-08-01 00:00:00, 1564610400, 15172330474846233320402
1292295, 2019-09-01 00:00:00, 1567288800, 24052536744021412435173
1806619, 2019-10-01 00:00:00, 1569880800, 31887980027960857431311
2342857, 2019-11-01 00:00:00, 1572562800, 39326768727119140565170
2859142, 2019-12-01 00:00:00, 1575154800, 46009081503073719376434
3381093, 2020-01-01 00:00:00, 1577833200, 52558617761520624249394
3908432, 2020-02-01 00:00:00, 1580511600, 58797217079549702129074
4398835, 2020-03-01 00:00:00, 1583017200, 64897125049212997499954
4932662, 2020-04-01 00:00:00, 1585692000, 71404819471647583176626
5450551, 2020-05-01 00:00:00, 1588284000, 77705569210095307722541
5986153, 2020-06-01 00:00:00, 1590962400, 477477212235604397428
6504420, 2020-07-01 00:00:00, 1593554400, 6592623070680229048515
7039848, 2020-08-01 00:00:00, 1596232800, 4531819670605068270541
7567778, 2020-09-01 00:00:00, 1598911200, 5929179340244102447875
8066319, 2020-10-01 00:00:00, 1601503200, 5199253709927486944627
8571250, 2020-11-01 00:00:00, 1604185200, 5330765268915686457891
9054587, 2020-12-01 00:00:00, 1606777200, 4803283126611175419756
