Wallet Address, 0x5084Da4C19315883eaFCA786C14e045c6944459d
Block No., Local Time, Timestamp [UNIX], Balance [wei]
222726, 2019-07-01 00:00:00, 1561932000, 0
758317, 2019-08-01 00:00:00, 1564610400, 0
1292295, 2019-09-01 00:00:00, 1567288800, 0
1806619, 2019-10-01 00:00:00, 1569880800, 0
2342857, 2019-11-01 00:00:00, 1572562800, 0
2859142, 2019-12-01 00:00:00, 1575154800, 0
3381093, 2020-01-01 00:00:00, 1577833200, 0
3908432, 2020-02-01 00:00:00, 1580511600, 0
4398835, 2020-03-01 00:00:00, 1583017200, 0
4932662, 2020-04-01 00:00:00, 1585692000, 0
5450551, 2020-05-01 00:00:00, 1588284000, 0
5986153, 2020-06-01 00:00:00, 1590962400, 100386009958000000000000
6504420, 2020-07-01 00:00:00, 1593554400, 80387009937000000000000
7039848, 2020-08-01 00:00:00, 1596232800, 78626009916000000000000
7567778, 2020-09-01 00:00:00, 1598911200, 83392009916000000000000
8066319, 2020-10-01 00:00:00, 1601503200, 89395014916000000000000
8571250, 2020-11-01 00:00:00, 1604185200, 73890114874000000000000
9054587, 2020-12-01 00:00:00, 1606777200, 68687114853000000000000
9545086, 2021-01-01 00:00:00, 1609455600, 73010114853000000000000
10063351, 2021-02-01 00:00:00, 1612134000, 58580394223000000000000
10538736, 2021-03-01 00:00:00, 1614553200, 62751394223000000000000
11055725, 2021-03-31 00:00:00, 1617141600, 61310394202000000000000
11072995, 2021-04-01 00:00:00, 1617228000, 61310394202000000000000
11572590, 2021-04-30 00:00:00, 1619733600, 60833194201580000000000
11589857, 2021-05-01 00:00:00, 1619820000, 60833194201580000000000
